iter	Logloss
0	0.6194181774
1	0.5577085598
2	0.5044070541
3	0.4598845204
4	0.4233613645
5	0.3919998483
6	0.3660342393
7	0.3438087099
8	0.3258269735
9	0.3097845995
10	0.2948877144
11	0.2822057495
12	0.2703146392
13	0.2612675599
14	0.2528789821
15	0.2456192929
16	0.2395651372
17	0.2343712248
18	0.2295553424
19	0.2251603729
20	0.2212188457
21	0.2172749228
22	0.2142245274
23	0.2109821156
24	0.2086942379
25	0.2064888522
26	0.2043321287
27	0.2023202539
28	0.2005179501
29	0.1991919168
30	0.1980366852
31	0.1968125193
32	0.1955388161
33	0.1943720877
34	0.193497677
35	0.1924055935
36	0.1913455496
37	0.1902890155
38	0.1895658451
39	0.1889597572
40	0.1882317021
41	0.187636777
42	0.1866270062
43	0.1859872905
44	0.1850194397
45	0.1841912805
46	0.183726256
47	0.1831073368
48	0.1826401722
49	0.1819717607
50	0.1811819988
51	0.1806374552
52	0.1802994006
53	0.1798358198
54	0.1791501742
55	0.1787399584
56	0.1783343341
57	0.1778966635
58	0.1774673948
59	0.1769041698
60	0.1766462147
61	0.1762889506
62	0.1760644342
63	0.1756731081
64	0.1753963173
65	0.1748477747
66	0.1745272866
67	0.1742243313
68	0.1739628286
69	0.1738465055
70	0.1735497332
71	0.1732050334
72	0.1729878638
73	0.1727972722
74	0.1725360253
75	0.1723540642
76	0.1720763204
77	0.1717879632
78	0.1714767513
79	0.1710139341
80	0.1708044512
81	0.1705312847
82	0.1704364492
83	0.1701283381
84	0.169948172
85	0.1698533025
86	0.1696103128
87	0.1694053171
88	0.1693126941
89	0.169064507
90	0.1687872461
91	0.168608411
92	0.1683391168
93	0.1682136117
94	0.1680764305
95	0.1679812754
96	0.1676861149
97	0.1675025229
98	0.1672822148
99	0.1671485844
100	0.1669085031
101	0.1667685002
102	0.1663886609
103	0.1662451515
104	0.166184973
105	0.1658456642
106	0.1656375701
107	0.165493854
108	0.1653455318
109	0.1652603336
110	0.1651698094
111	0.165096344
112	0.1649891055
113	0.1647658516
114	0.1645425515
115	0.1644971768
116	0.1644346046
117	0.1642308811
118	0.164142892
119	0.1639998338
120	0.1639077375
121	0.1638451045
122	0.1636179794
123	0.1635370526
124	0.163304209
125	0.1632358394
126	0.1631559871
127	0.1629854368
128	0.1628714173
129	0.1628236648
130	0.1626376804
131	0.1624394758
132	0.1623416533
133	0.1621652548
134	0.162038531
135	0.1619383141
136	0.1617911159
137	0.1617254072
138	0.1616820211
139	0.1616220433
140	0.161485035
141	0.161350349
142	0.1612636608
143	0.1611846504
144	0.1610205685
145	0.1609655907
146	0.1608231832
147	0.1606397205
148	0.1605237596
149	0.1604044251
150	0.1602506129
151	0.1601764215
152	0.1600639137
153	0.159988781
