iter	Passed	Remaining
608	5672	3641
609	5680	3631
610	5688	3621
611	5696	3611
612	5705	3601
613	5713	3591
614	5721	3581
615	5730	3572
616	5737	3561
617	5745	3551
618	5753	3541
619	5762	3531
620	5770	3521
621	5778	3511
622	5786	3501
623	5795	3492
624	5803	3482
625	5812	3472
626	5819	3462
627	5828	3452
628	5835	3442
629	5843	3432
630	5853	3422
631	5861	3413
632	5869	3402
633	5877	3392
634	5884	3382
635	5893	3372
636	5901	3362
637	5911	3354
638	5921	3345
639	5929	3335
640	5939	3326
641	5946	3316
642	5955	3306
643	5963	3296
644	5970	3286
645	5978	3276
646	5987	3266
647	5995	3256
648	6003	3246
649	6011	3236
650	6020	3227
651	6028	3217
652	6036	3207
653	6044	3197
654	6053	3188
655	6061	3178
656	6069	3168
657	6077	3158
658	6085	3149
659	6093	3139
660	6102	3129
661	6110	3119
662	6118	3110
663	6129	3101
664	6137	3091
665	6144	3081
666	6153	3072
667	6159	3061
668	6167	3051
669	6174	3041
670	6183	3031
671	6191	3021
672	6198	3011
673	6206	3001
674	6214	2992
675	6221	2981
676	6229	2972
677	6236	2961
678	6244	2952
679	6253	2942
680	6260	2932
681	6268	2923
682	6276	2913
683	6285	2903
684	6292	2893
685	6301	2884
686	6308	2874
687	6317	2865
688	6325	2855
689	6332	2845
690	6339	2834
691	6347	2825
692	6355	2815
693	6363	2805
694	6371	2796
695	6380	2786
696	6388	2777
697	6396	2767
698	6404	2757
699	6415	2749
700	6428	2741
701	6440	2733
702	6456	2727
703	6470	2720
704	6485	2713
705	6498	2706
706	6512	2699
707	6527	2691
708	6539	2684
709	6556	2677
710	6573	2671
711	6600	2670
712	6622	2665
713	6638	2659
714	6655	2652
715	6671	2646
716	6683	2638
717	6695	2629
718	6708	2621
719	6723	2614
720	6737	2607
721	6747	2597
722	6755	2588
723	6768	2580
724	6783	2573
725	6793	2564
726	6806	2555
727	6816	2546
728	6825	2537
729	6836	2528
730	6848	2520
731	6856	2510
732	6865	2500
733	6873	2491
734	6881	2481
735	6892	2472
736	6900	2462
737	6909	2452
738	6917	2443
739	6925	2433
740	6939	2425
741	6947	2415
742	6955	2405
743	6963	2396
744	6971	2386
745	6980	2376
746	6988	2366
747	6997	2357
748	7007	2348
749	7016	2338
750	7025	2329
751	7034	2319
752	7042	2310
753	7051	2300
754	7060	2291
755	7069	2281
756	7082	2273
757	7096	2265
758	7117	2259
759	7130	2251
760	7151	2246
761	7164	2237
762	7179	2230
763	7192	2221
764	7207	2213
765	7229	2208
766	7246	2201
767	7262	2193
768	7274	2185
769	7291	2178
770	7305	2169
771	7323	2162
772	7341	2155
773	7354	2147
774	7367	2139
775	7380	2130
776	7393	2121
777	7405	2113
778	7416	2104
779	7426	2094
780	7437	2085
781	7447	2076
782	7457	2066
783	7466	2057
784	7478	2048
785	7501	2042
786	7525	2036
787	7535	2027
788	7544	2017
789	7556	2008
790	7565	1998
791	7573	1989
792	7583	1979
793	7593	1970
794	7603	1960
795	7612	1951
796	7621	1941
797	7632	1931
798	7647	1923
799	7660	1915
800	7672	1906
801	7685	1897
802	7702	1889
803	7726	1883
804	7743	1875
805	7768	1869
806	7779	1860
807	7805	1854
808	7829	1848
809	7859	1843
810	7874	1835
811	7892	1827
812	7903	1817
813	7913	1808
814	7924	1798
815	7933	1789
816	7945	1779
817	7957	1770
818	7967	1760
819	7978	1751
820	7991	1742
821	8002	1733
822	8013	1723
823	8023	1713
824	8032	1703
825	8040	1693
826	8049	1683
827	8057	1673
828	8065	1663
829	8074	1653
830	8082	1643
831	8093	1634
832	8102	1624
833	8114	1615
834	8124	1605
835	8133	1595
836	8142	1585
837	8151	1575
838	8160	1565
839	8167	1555
840	8175	1545
841	8184	1535
842	8191	1525
843	8200	1515
844	8208	1505
845	8216	1495
846	8224	1485
847	8232	1475
848	8242	1465
849	8251	1456
850	8258	1445
851	8266	1435
852	8274	1425
853	8284	1416
854	8294	1406
855	8304	1396
856	8313	1387
857	8321	1377
858	8328	1367
859	8336	1357
860	8344	1347
861	8352	1337
862	8360	1327
863	8368	1317
864	8377	1307
865	8385	1297
866	8393	1287
867	8401	1277
868	8409	1267
869	8418	1257
870	8427	1248
871	8435	1238
872	8444	1228
873	8453	1218
874	8463	1209
875	8472	1199
876	8482	1189
877	8494	1180
878	8503	1170
879	8522	1162
880	8536	1153
881	8549	1143
882	8569	1135
883	8598	1128
884	8619	1120
885	8640	1111
886	8652	1102
887	8667	1093
888	8680	1083
889	8693	1074
890	8710	1065
891	8727	1056
892	8744	1047
893	8755	1038
894	8767	1028
895	8780	1019
896	8792	1009
897	8809	1000
898	8825	991
899	8836	981
900	8850	972
901	8865	963
902	8879	953
903	8897	944
904	8909	935
905	8919	925
906	8929	915
907	8940	905
908	8951	896
909	8960	886
910	8969	876
911	8980	866
912	8989	856
913	8998	846
914	9012	837
915	9022	827
916	9034	817
917	9049	808
918	9063	798
919	9080	789
920	9100	780
921	9116	771
922	9127	761
923	9138	751
924	9149	741
925	9158	731
926	9171	722
927	9183	712
928	9194	702
929	9205	692
930	9214	682
931	9222	672
932	9230	662
933	9240	652
934	9248	642
935	9257	632
936	9266	623
937	9276	613
938	9285	603
939	9294	593
940	9305	583
941	9314	573
942	9322	563
943	9333	553
944	9342	543
945	9351	533
946	9363	524
947	9375	514
948	9384	504
949	9394	494
950	9404	484
951	9413	474
952	9422	464
953	9432	454
954	9442	444
955	9452	435
956	9462	425
957	9472	415
958	9484	405
959	9494	395
960	9504	385
961	9514	375
962	9523	365
963	9534	356
964	9546	346
965	9554	336
966	9564	326
967	9575	316
968	9584	306
969	9593	296
970	9603	286
971	9612	276
972	9621	266
973	9633	257
974	9643	247
975	9653	237
976	9661	227
977	9670	217
978	9678	207
979	9687	197
980	9696	187
981	9704	177
982	9713	167
983	9722	158
984	9731	148
985	9739	138
986	9748	128
987	9760	118
988	9769	108
989	9779	98
990	9789	88
991	9798	79
992	9810	69
993	9820	59
994	9831	49
995	9839	39
996	9850	29
997	9859	19
998	9869	9
999	9876	0
